id,name,description,optimal_sun,optimal_soil,planting_considerations,when_to_plant,growing_from_seed,transplanting,spacing,watering,feeding,other_care,diseases,pests,harvesting,storage_use
28,Rhubarb,"Rhubarb is a perennial vegetable, though it is generally used as a fruit in desserts and jams. You only eat the stalks, which have a rich tart flavor. The leaves of this plant are poisonous, so be sure that they are not ingested. Rhubarb is easy to grow, but needs cool weather to thrive.",Full Sun(at least 6 hours a day),Any,"Before planting, eliminate all perennial weeds. Choose a site that is well-drained, fertile, and preferably in full sunlight. It does best where the average temperature falls below 40ºF in the winter and below 75ºF in the summer.",Plant one-year rhubarb crowns in early spring as soon as the ground is workable when the roots are still dormant and before growth begins or plants are just beginning to leaf out. Rhubarb can also be planted in the fall after dormancy has set in.,Growing Rhubarb from seed is not recommended.,"Dig large bushel basket-size holes. Space rhubarb plants about 4 feet apart and plant the roots 1 to 2 inches below the surface of the soil. Be sure to mix compost, rotted manure, or anything high in organic matter in the soil. Rhubarb plants are heavy feeders and need this organic matter. Don't add a chemical fertilizer when planting rhubarb or during the first year of growth. Direct contact with nitrates can kill your rhubarb plants.",Final plant spacing should be 4 feet apart in all directions.,Water your plant well. It needs sufficient moisture during the summer.,"After the first spring, apply a light sprinkling of a high-nitrogen fertilizer (25-3-3 or 10-6-4) when the ground is thawing or has just thawed, so that the fertilizer will go into the ground and not harm the roots.","Mulch generously with a heavy layer of straw and cow manure to provide nutrients for the plant, retain moisture, and discourage weeds. Remove seed stalks as soon as they appear. Dig and split rhubarb roots every 3 to 4 years. Divide when plants are dormant in early spring (or fall).",Crown rot,,"Do not harvest any stalks during the first growing season so that your plants can become established. Harvest the stalks when they are 12 to 18 inches long. Usually after 3 years, the harvest period runs 8 to 10 weeks long. If the stalks become thin, stop harvesting; this means the plant's food reserves are low. Grab the base of the stalk and pull it away from the plant with a gentle twist. If this doesn't work, you can cut the stalk at the base. Be sure the discard of the leaves! Always leave at least 2 stalks per plant to ensure continued production. You may have a bountiful harvest for up to 20 years without having to replace your rhubarb plants.",
29,Spinach,"This super-cold-hardy vegetable is a tender crop that can be planted in very early spring as well as fall and winter. Spinach has similar growing conditions and requirements as lettuce, but it is more versatile in both its nutrition and its ability to be eaten raw or cooked. It is higher in iron, calcium, and vitamins than most cultivated greens, and one of the best sources of vitamins A, B, and C.",Full Sun(at least 6 hours a day),"Loamy, Neutral pH","Prepare the soil with compost about a week before planting, or, you may wish to prepare your spot in the fall so that you can sow the seeds outdoors in early spring as soon as the ground thaws. If you live in a place with mild winters, you can also plant in the fall. Select a site with full sun to light shade and well-drained soil.","Spring plantings can be made as soon as the soil can be properly worked. It’s important to seed as soon as you can to give spinach the required 6 weeks of cool weather from seeding to harvest. Soil should not be warmer than 70º F in order for germination. Successive plantings should be made every couple weeks during early spring. Common spinach cannot grow in midsummer. Plant in mid-August for a fall crop, ensuring that soil temps are cool enough.","Sow seeds ½ inch to 1 inch deep, covering lightly with soil. Sow about 12 seeds per foot of row, or sprinkle over a wide row or bed.","Although seedlings can be propagated indoors, it is not recommended as seedlings are difficult to transplant.","When seedlings sprout to about two inches, thin them to 3-4 inches apart.",Water regularly.,"Fertilize only if necessary due to slow growth, or use as a supplement if your soil’s pH is inadequate. Use when plant reaches ⅓ growth.",Keep soil moist with mulching.,"Downy Mildew, Mosaic Virus/Blight",Leaf Miners,"Keep an eye on your plants. Harvest when leaves reach desired size. Harvest by pinching outer leaves at their base.  Don’t wait too long to harvest, or wait for larger leaves; bitterness will set in quickly after maturity.",
30,Summer Squash,"Squash is a seasonal vegetable. It is very susceptible to frost and heat damage, but with proper care it will produce a bumper crop with very few plants. There are many varieties of summer squash to choose from, including zucchini. The main difference between winter and summer varieties is their harvest time; the longer growing period gives winter squash a tougher, inedible skin",Full Sun(at least 6 hours a day),Loamy,"If you wish to start seeds indoors due to a short gardening season, sow 2 to 4 weeks before last spring frost in peat pots. However, we recommend direct-seeding for squash because they do not always transplant well. If you do transplant, be very gentle with the roots. The outside planting site needs to receive full sun; the soil should be moist and well-drained, but not soggy. Squash plants are heavy feeders. Work compost and plenty of organic matter into the soil before planting for a rich soil base.","The soil needs to be warm (at least 60º at a two-inch depth) so we plant summer squash after our spring crops of peas, lettuce, and spinach—about one week after the last spring frost to midsummer.  In fact, waiting to plant a few seeds in midsummer will help avoid problems from vine borers and other pests and diseases common earlier in the season.","Plant seeds about one-inch deep and 2 to 3 feet apart in a traditional garden bed. Or, you could also plant as a “hill” of 3 or 4 seeds sown close together on a small mound; this is helpful in northern climates as the soil is warmer off the ground. Allow 4 to 6 feet between hills.",Transplanting summer squash is not recommended.,Final plant spacing should be around 4-6 feet apart in all directions.,"For all type of squash, frequent and consistent watering is recommended. Water most diligently when fruits form and throughout their growth period. Water deeply once a week, applying at least one inch of water. Do not water shallowly; the soil needs to be moist 4 inches down.","When the first blooms appear, apply a small amount of fertilizer as a side dress application. After harvest begins, fertilize occasionally for vigorous growth and lots of fruits.","Mulch plants to protect shallow roots, discourage weeds, and retain moisture.",Blossom End Rot,"Squash Borer, Squash Bug, Aphids, Stink bug","Harvest summer squash when small and tender for best flavor. Most varieties average 60 days to maturity, and are ready as soon as a week after flowering. Check plants everyday for new produce. Cut the squash off the vine rather than breaking them off.","Fresh summer squash can be stored in the refrigerator for up to ten days. Freezing Summer squash: Wash it, cut off the ends, and slice or cube the squash. Blanch for three minutes, then immediately immerse in cold water and drain. Pack in freezer containers and freeze."
31,Chard,Chard is a member of the beet family that does well in both cool and warm temperatures. It can be cooked or used raw in salads and is high in vitamins A and C.,Full-Part Sun,Loamy,"Before planting, mix 1 cup of 5-10-10 fertilizer into the soil for every 20 feet of single row.","Plant chard seeds 2 to 3 weeks before the last spring frost date. Continue planting seeds at 10-day intervals for a month. For a fall harvest, plant chard seeds again about 40 days before the first fall frost date.","Plant the seeds ½ to ¾ of inch deep in well-drained, rich, light soil. Space the seeds about 18 inches apart in single rows or 10 to 18 inches apart in wide rows. Sow eight to ten seeds per foot of row.",Transplant to 4-6 inches apart or 9-12 inches apart if the plants are larger.,"When the plants are 3 to 4 inches tall, thin them out so that they are 4 to 6 inches apart or 9 to 12 inches apart if the plants are larger.",Water the plants evenly to help them grow better. Water often during dry spells in the summer.,,"Mulch the plants the plants to help conserve moisture. For the best quality, cut the plants back when they are about 1 foot tall. If the chard plants become overgrown, they lose their flavor.",,"Slugs, Aphids","You can start harvesting when the plants are 6 to 8 inches tall. Cut off the outer leaves 1-½ inches above the ground with a sharp knife. If you harvest the leaves carefully, new leaves will grow and provide another harvest.",You can cut the ribs off the chard leaves and cook them like asparagus. The rest of the leaves are eaten as greens. You can cook them like spinach or eat them raw.
32,Turnips,"Turnips are biennials usually grown as annuals. Although turnips are more of a staple in European kitchens, many southern gardeners like to grow them for their greens. Turnips take up to two months to mature. Turnips grow best in a temperate climate but can endure light frost. Fall crops are usually sweeter and more tender than spring crops—and pests are less of a problem.",Full Sun(at least 6 hours a day),"Loamy, Mildly Acidic to Neutral pH",Soil should be well-draining and loosened to a depth of 12 to 15 inches.,Start sowing as soon as the ground is workable.,Scatter turnip seed. Do not cover the seeds with more than ½ an inch of soil.,Transplanting turnips is not recommended.,"Once seedlings are 4 inches high, thin “early” types 2 to 4 inches apart and maincrop types to 6 inches apart. Do not thin if growing for greens only.",Water at a rate of 1 inch per week to prevent the roots from becoming tough and bitter.,,Keep the beds weed free. Mulch heavily.,"Powdery Mildew, Downy Mildew","Root Maggots, Flea Beetles","Harvest some turnips very early as greens. Harvest early types after about 5 weeks; maincrop types after 6 to 10 weeks. Harvest turnips at any size you wish. The small, young turnips are nice and tender. Pull mature turnips before they become woody and before the first frost.",Store for up to 3 or 4 months in a cool outdoor place covered with straw.
33,Watermelon,"Everyone seems to love juicy watermelon in the summertime. Native to Africa, melons need warm temperatures (up to 80 degrees during the day) and a long growing season. Gardeners in colder climates can still have success in growing watermelon by starting seeds indoors and choosing short-season varieties. Days to maturity range from 70 to 90, depending on the variety.",Full Sun(at least 6 hours a day),Loamy,"Amend soil with aged manure, seaweed, and/or compost before planting. Watermelons are heavy feeders. Watermelons prefer a soil pH between 6 and 6.8.","Watermelon vines are very tender and should not be transplanted until all danger of frost has passed. (To be safe, wait at least two weeks past your last frost date.) If you are in a cooler zone, start seeds indoors about a month before transplanting.","If you live in warmer climates, you can direct sow seeds outdoors, but wait until the soil temperature warms to at least 70 degrees to avoid poor germination.","Transplant at least two weeks past the last frost date of spring.  After you transplant, cover the plants with row covers to keep pests at bay. You'll remove the row covers when you see both male and female flowers on the vine.","Growing the vines in raised rows, known as hills, ensures good drainage and will hold the sun’s heat longer. Space the plants about 2 feet apart in a 5-foot-wide hill. If you're growing in rows, space 6 feet apart by 6 feet apart. ","Watering is very important from planting until fruit begins to form. While melon plants are growing, blooming, and setting fruit, they need 1 to 2 inches of water per week. Keep soil moist but not waterlogged. Water at the vine's base in the morning, and try to avoid wetting the leaves and avoid overhead watering. Reduce watering once fruit are growing. Dry weather produces the sweetest melon.","If you choose to fertilize (and many do), make sure it's deliver more nitrogen than phosphorus and potassium. However, after flowering begins, use a fertilizer with less nitrogen. We like to use liquid seaweed.","Mulching with black plastic will serve multiple purposes: it will warm the soil, hinder weed growth and keep developing fruits clean. Pruning isn't necessary, but vine productivity may be improved if you do not allow lateral (side) vines to grow and stick to the main vine. When the plant is young, just cut off the end buds as they form (before the side shoots become vines). You can also pinch off some blossoms to focus the energy on fewer melons (though it's a challenge to kill off a potential fruit!). As fruit is ripening, prevent rotting by gently lifting it and putting some cardboard or straw between the fruit and the soil.","Aphids, Squash Borers",Fusarium Wilt,"Watermelons don’t sweeten after they are picked, so harvest time is important. They generally ripen over two weeks so keep you eye on them. Check the tendril. If it's green, wait. If it’s half-dead, the watermelon is nearly ripe or ripe. If the tendril is fully dead, it's ripe or overripe; it’s not going to get any riper, so you might as well pick! Stems should be cut with a sharp knife close to the fruit.","Watermelons can be stored uncut for about 10 days. If cut, they can last in the refrigerator for about 4 days. Wrap tightly in plastic."
34,Winter Squash,"Squash is a seasonal vegetable. It is very susceptible to frost and heat damage, but with proper care it will produce a bumper crop with very few plants. There are many varieties of summer squash to choose from, including zucchini. The main difference between winter and summer varieties is their harvest time; the longer growing period gives winter squash a tougher, inedible skin",Full Sun(at least 6 hours a day),Loamy,"If you wish to start seeds indoors due to a short gardening season, sow 2 to 4 weeks before last spring frost in peat pots. However, we recommend direct-seeding for squash because they do not always transplant well. If you do transplant, be very gentle with the roots. The outside planting site needs to receive full sun; the soil should be moist and well-drained, but not soggy. Squash plants are heavy feeders. Work compost and plenty of organic matter into the soil before planting for a rich soil base.","The soil needs to be warm (at least 60º at a two-inch depth) so we plant summer squash after our spring crops of peas, lettuce, and spinach—about one week after the last spring frost to midsummer.  In fact, waiting to plant a few seeds in midsummer will help avoid problems from vine borers and other pests and diseases common earlier in the season.","Plant seeds about one-inch deep and 2 to 3 feet apart in a traditional garden bed. Or, you could also plant as a “hill” of 3 or 4 seeds sown close together on a small mound; this is helpful in northern climates as the soil is warmer off the ground. Allow 4 to 6 feet between hills.",Transplanting winter squash is not recommended.,Final plant spacing should be around 4-6 feet apart in all directions.,"For all type of squash, frequent and consistent watering is recommended. Water most diligently when fruits form and throughout their growth period. Water deeply once a week, applying at least one inch of water. Do not water shallowly; the soil needs to be moist 4 inches down.","When the first blooms appear, apply a small amount of fertilizer as a side dress application. After harvest begins, fertilize occasionally for vigorous growth and lots of fruits.","Mulch plants to protect shallow roots, discourage weeds, and retain moisture.",Blossom End Rot,"Squash Borer, Squash Bug, Aphids, Stink bug","Harvest winter squash when rind is hard and deep in color, usually late September through October.","Winter squash can be stored in a cool, dark place until needed. It will last for most of the winter. If you have a cool bedroom, stashing them under the bed works well. They like a temperature of about 50 to 65 degrees F. Freezing Winter squash: Cook as you normally would, then mash. Pack in freezer containers."
35,Thyme,"Thyme is a small perennial shrub with lots of branches and light purple to pink flowers. It's aromatic and has a pleasant, pungent, clover flavor. There are over fifty varieties used in cooking and gardening. English thyme is used most often in cooking.
",Full Sun(at least 6 hours a day),"Loamy, Sandy","It's hard to grow thyme from seeds because of slow, uneven germination. It's easier to buy the plants or take some cuttings from a friend. Thyme grows well next to cabbage.","For a head start, plant the seeds/cuttings indoors 6 to 10 weeks before the last spring frost.","It's hard to grow thyme from seeds because of slow, uneven germination. It's easier to buy the plants or take some cuttings from a friend.",Transplant to your desired space in the garden.,Thyme should grow 6 to 12 inches in height.,Water normally and remember to trim the plants.,,"Prune the plants back in the spring and summer to contain the growth. You can take some cuttings and plant them indoors in pots, too. If you have cold winters, remember to lightly mulch around the plants after the ground freezes.","Gray Mold, Root Rot",,"Throughout the summer, leaves and sprigs can be harvested at any time.","To dry the sprigs, hang them in a dark, well-ventilated, warm area. You can also just dry the leaves by placing them on a tray. Once dried, store them in an airtight container. Freezing is another method of storage."
36,Oregano,Oregano is a perennial with rose-purple or white flowers and a taste reminiscent of thyme. Its taste is zesty and strong and is commonly used in Italian dishes. Oregano is a hardy plant and makes a good ground cover.,Full Sun(at least 6 hours a day),Loamy,"Oregano loves the sun; ensure your placement has full, strong sun for strong flavor; some folks plant later in the season for assured warm weather. Oregano makes a good companion for any vegetable in the garden. Oregano can easily be started from seeds, though you can also use cuttings from an established plant.","For a head start, plant the seeds/cuttings 6 to 10 weeks before the last spring frost. Plant the seeds/cuttings in well-drained soil anytime after the last spring frost. The soil should be around 70ºF.",Plant seeds at roughly 1.5 times the seed’s diameter in your desired space in the garden.,Transplant to your desired space in the garden.,"For thin plants, plant 8 to 10 inches apart. The plants will grow 1 to 2 feet tall and spread about 18 inches.","Oregano doesn't need quite as much water as most herbs. As the amount of watering depends on many variables, just water when the soil feels dry to the touch. Remember that it's better to water thoroughly and less often. If you have a container, water until the water comes out of the drainage holes in the bottom of the container.",,"To ensure the best-quality plants, thin out plants that are 3 or 4 years old in the early spring. Oregano is self-seeding, so the plants will easily grow back. You can divide the plants in late spring if you want to put one indoors.",Root and Stem Rots,Aphids,Harvest the leaves as you need them. The most flavor-filled leaves are found right before the flowers bloom. Harvest using scissors and give the herb a “haircut”.,You can freeze the leaves to use during the winter. Oregano leaves store well and are easily dried. Keep them in an airtight container once dried.
37,Rosemary,"Rosemary is a perennial evergreen shrub with blue flowers. It is a pungent and distinctive plant with a sweet, resinous flavor. Rosemary is ideal for a rock garden or the top of a dry wall. It is used for poultry, lamb, stews, and soups.",Full Sun(at least 6 hours a day),"Loamy, Sandy","Plant the seeds/cuttings in well-drained soil. For best growth, the soil should be around 70ºF. In the garden, plant near beans, cabbage, carrots, and sage.","For a head start, plant the seeds or cuttings indoors 8 to 10 weeks before the last spring frost.",Plant seeds at roughly 1.5 times the seed’s diameter in your desired space in the garden.,Transplant to your desired space in the garden.,Be sure to give your plants enough room to grow. Rosemary grows to about 4 feet tall and spreads about 4 feet as well.,Water the plants evenly throughout the growing season.,,"After the plant flowers, remember to trim the plant. Prune/harvest regularly so that the plant won't get lanky.","Bacterial leaf spots, Aerial Blight, Root Rot",,"Prune the stems to use fresh. During the winter, bring a rosemary plant indoors. Harvest using scissors and give the herb a “haircut”.",You can dry the leaves as well and store in an airtight container.
38,Cilantro,"Coriander/cilantro is a fast-growing, aromatic herb that grows in the cooler weather of spring and fall. This herb is used to flavor many recipes and the entire plant is edible. The leaves are called cilantro and the seeds are called coriander.",Full-Part Sun,Loamy,"It is best to choose a sunny site that will allow cilantro to self-seed as it is ought to do. Plant in an herb garden or the corner of a vegetable garden. When the weather gets warm, the plant will quickly finish its life cycle and send up a long stalk which will produce blossoms and later seeds. Little plants will sprout during the season and the next spring.","Plant cilantro in the spring after the last frost date or in the fall. In the Southwest, a fall planting may last through spring when the weather heats up again. Do not grow in summer heat as the plants will bolt (so it is past harvesting). The leaves that grow on bolted plants tend to be bitter in flavor.","Plant the seeds in light, well-drained soil and space them 1 to 2 inches apart. Sow the seeds at 3-week intervals for continued harvest. It is important to keep the seeds moist during their germination, so remember to water the plants regularly.",Transplant to your desired space in the garden.,Space rows about 12 inches apart. Thin seedlings to 6 inches apart so that they have room to develop healthy leaves.,"Water the seedlings regularly throughout the growing season. They require about 1 inch of water per week for best growth. Once the plants are established, they do not need as much water per week. Keep them moist, but be careful not to overwater them.",Fertilize once or twice during the growing season with nitrogen fertilizer. Apply ¼ cup of fertilizer per 25 feet of row. Be sure not to over-fertilizer the plants.,"To help prevent weeds, mulch around the plants as soon as they are visible above the soil. You can also till shallowly to help prevent root damage from weeds.","Fungal wilt, Mildew",Aphids,"Harvest while it is low. When the cilantro grows its stalk, cut off the plant after the seeds drop and let it self-seed. The large leaves can be cut individually from the plants. For the smaller leaves, cut them off 1-½ to 2 inches above the crown. You can also remove the entire plant at once; however, this means that you will not be able to continue harvesting for the rest of the growing season.","To store coriander seeds, cut off the seed heads when the plant begins to turn brown and put them in a paper bag. Hang the bag until the plant dries and the seeds fall off. You can then store the seeds in sealed containers. To store cilantro leaves, you can either freeze or dry them. To freeze, put the leaves in a resealable freezer bag and store them in your freezer. To dry them, hang the plant in a warm place until fully dried, then store the leaves in a resealable bag or container."
39,Parsley,"Parsley is a biennial plant with bright green, featherlike leaves and is in the same family as dill. This herb is used in soups, sauces, and salads, and it lessens the need for salt in soups. Not only is it the perfect garnish, but also it is healthy; it’s rich in iron and vitamins A and C.",Full-Part Sun,Loamy,"Plant parsley near asparagus, corn, and tomatoes in your garden.","For a head start, plant seeds in individual pots indoors 10 to 12 weeks before the last spring frost. Plant the seeds 3 to 4 weeks before the last spring frost because parsley is a slow starter. (The plants can handle the cold weather.) It can take up to 3 weeks for the plants to sprout.","For better germination, you can soak the seeds overnight. Plant the seeds in moist, rich soil about 6 to 8 inches apart. To ensure the best growth, the soil should be around 70ºF.",Transplant to your desired space in the garden.,Allow 6-10 inches of space in all directions.,"Throughout the summer, be sure to water the plants evenly.",,,"Stem rot, Leaf spots","Black swallowtail larvae,
Carrot fly and celery fly larvae","When the leaf stems have three segments, parsley is ready to be harvested. Cut leaves from the outer portions of the plant whenever you need them. Leave the inner portions of the plant to mature.","One method of storing the parsley fresh is to put the leaf stalks in water and keep them in the refrigerator. Another method of storage is drying the parsley. Cut the parsley at the base and hang it in a well-ventilated, shady, and warm place. Once it’s completely dry, crumble it up and store it in an airtight container.
If you want fresh parsley throughout the winter, replant a parsley plant in a pot and keep it in a sunny window."
40,Mint,"Mint is a perennial with very fragrant, toothed leaves and tiny purple, pink, or white flowers. It has a fruity, aromatic taste. There are many varieties of mint—all fragrant, whether shiny or fuzzy, smooth or crinkled, bright green or variegated. However, you can always tell a member of the mint family by its square stem. Rolling it between your fingers, you’ll notice a pungent scent and think of candy, sweet teas, or maybe even mint juleps.",Full-Part Sun,Loamy,"Mints are vigorous perennials that thrive in light soil with good drainage. In the garden, plant mint near cabbage and tomatoes. Most will tolerate some shade, and the variegated types may require some protection from direct sun.",You can plant mint as soon as the soil is workable in the spring.,Plant seeds at roughly 1.5 times the seed’s diameter in your desired space in the garden.,"For growing outdoors, plant one or two plants (or one or two cuttings) about 2 feet apart in moist soil. One or two plants will easily cover the ground. Mint should grow to be 1 or 2 feet tall.",Mint can spread like wildfire.  Be sure to prune/harvest often to keep it contained.,Be sure to water regularly to keep the soil evenly moist.,,"Minimal care is needed for mint. For outdoor plants, use a light mulch. This will help keep the soil moist and keep the leaves clean.","Powdery mildew, Rust, Leaf spot",,"Right before flowering, cut the stems 1 inch from the ground. You can harvest one mint plant two or three times in one growing season. You can also just pick the leaves as you need them.",The best way to propagate mints is by taking cuttings from those that you like best. It’s easy—take 6-inch cuttings of rooted stems and plant them horizontally in the soil. Mint stems will also root in a glass of water. Start with a small cutting from an established plant. Any gardening friend will give you a cutting of a favorite mint.
41,Sage,"Sage is a hardy perennial with soft, grayish green leaves. Its flower colors vary; they can be purple, pink, blue, or white. Common sage is used most commonly for cooking; it's a classic in stuffing.",Full Sun(at least 6 hours a day),"Loamy, Sandy","Sage can grow from seeds, but the best way to grow high-quality sage is from cuttings from an established plant. In the garden, plant near rosemary, cabbage, and carrots, but keep sage away from cucumbers.",You can start the seeds/cuttings indoors 6 to 10 weeks before the last spring frost. Plant the seeds/cuttings in well-drained soil 1 to 2 weeks before the last spring frost.,"For best growth, the soil should be between 60º and 70ºF. Plant seeds at roughly 1.5 times the seed’s diameter in your desired space in the garden.","For best growth, the soil should be between 60º and 70ºF. Transplant to your desired space in the garden.",Plant the seeds/cuttings 24 to 30 inches apart. Plants should grow to be between 12 and 30 inches in height.,Be sure to water the young plants regularly until they are fully grown so that they don't dry out.,,"Prune the heavier, woody stems every spring.","Rust, Powdery mildew, Stem rot, Fungal leaf spots","Whiteflies, Aphids","During the first year, harvest lightly to ensure that the plant grows fully. After the first year. be sure to leave a few stalks so that the plant can rejuvenate. If fully established, one plant can be harvested up to three times in one season.","Sage's flavor is best when fresh, but it can be stored frozen or dried. To dry, leave the branches in the sun; once dried, remove the leaves and store them in an airtight container."
42,Tarragon,"Tarragon is a perennial herb with long, light green leaves and tiny greenish or yellowish white flowers. For cooking, use French tarragon. Russian tarragon can easily be mistaken for French, but Russian tarragon is coarser and less flavorful than French tarragon.",Full-Part Sun,"Loamy, Sandy",Tarragon is a good companion to most vegetables in the garden.,You can tarragon mint as soon as the soil is workable in the spring.,You can’t grow French tarragon from seeds. You must purchase the plants or take an established plant from a friend’s garden. Get the transplants in the spring or fall.,Plant the transplants in well-drained soil about 2 to 3 feet apart in order to give each plant room to grow. A full-grown plant should cover about 12 inches of soil.,"The plants should grow to around 2 or 3 feet in height. Plant spacing should be around 2-3 feet in all directions.
",Be sure to water the young plants regularly until they are fully grown so that they don't dry out.,,"Be sure to prune/harvest the plant regularly to prevent flowering and to keep the height to around 2 feet (otherwise the plant will fall over). If you live in a colder climate, be sure to put mulch around the plants in late fall in order to protect the roots during the winter. To help keep your plants healthy, divide them every 3 to 4 years in the spring or fall. New plants can grow from stem cuttings or root cuttings.","Many rusts, including white rust, Downy mildew, Powdery mildew",,Harvest your plant regularly. Two or three plants will suffice if you regularly prune them. Tarragon is best used fresh in the summer.,"You can freeze the leaves or dry them. If left to dry for too long, though, the leaves lose their flavor, so be careful. As soon as the leaves are dry, store them in airtight containers."
43,Okra,Okra is traditionally a southern U.S. plant that thrives in warm weather. It is easy to grow and use and looks great throughout the growing season due to its beautiful flowers. Okra is also rich in vitamin A and low in calories.,Full Sun(at least 6 hours a day),Loamy,,"You can start okra seeds indoors in peat pots under full light 3 to 4 weeks before the last spring frost date. You can also start okra directly in your garden 3 to 4 weeks before the last spring frost date as long as you cover the plants with a cold frame or grow tunnel until the weather warms up. Make sure that the covering is 2 to 3 feet tall so that the plants have room to grow. If you do not start your okra plants early, wait until there is stable warm weather. You can plant okra in the garden when the soil has warmed to 65° to 70°F.","Plant okra in fertile, well-drained soil in full light about ½ to 1 inch deep and 12 to 18 inches apart. You can soak the seeds overnight in tepid water to help speed up germination.","If you are planting okra transplants, be sure to space them 1 to 2 feet apart to give them ample room to grow.","When the seedlings are about 3 inches tall, thin the plants so that they are 10 to 18 inches apart.","Keep the plants well watered throughout the summer months; 1 inch of water per week is ideal, but use more if you are in a hot, arid region.",Side-dress the plants with rich compost (½ pound per 25 feet of row). You could also apply a balanced liquid fertilizer monthly.,"Eliminate weeds when the plants are young, then mulch heavily to prevent more weeds from growing. Apply a layer of mulch 4 to 8 inches high. After the first harvest, remove the lower leaves to help speed up production.",Fusarium wilt,"Aphids, Corn earworms, Stinkbugs","The first harvest will be ready about 2 months after planting. Harvest the okra when its about 2 to 3 inches long. Harvest it every other day. Cut the stem just above the cap with a knife; if the stem is too hard to cut, the pod is probably too old and should be tossed. Wear gloves and long sleeves when cutting the okra because most varieties are covered with tiny spines that will irritate your skin, unless you have a spineless variety. Do not worry: this irritation will not happen when you eat them.","To store okra, put the uncut and uncooked pods into freezer bags and keep them in the freezer. You can then prepare the okra any way you like throughout the winter months."
44,Sweet Potato,"The sweet potato is a warm-season, spreading vegetable of tropical origin. It is a good choice for a garden because it is easy to grow, is drought- / heat-tolerant, and has few pests or diseases. The sweet potato is also very nutritious and low in calories.",Full Sun(at least 6 hours a day),Loamy,"Sweet potatoes are grown from slips, which are sprouts that are grown from stored sweet potatoes. You can buy slips from garden centers, nurseries, or local farmers. You can also grow your own slips to plant in the spring. In November (this is when the best of the new harvest will be out), go to your supermarket and look for unblemished and uncracked medium sweet potatoes. One potato should yield about 12 plants.","After you have grown your own slips or bought them, till the area of the garden you will be using to a depth of 8 to 10 inches. Create raised beds 6 to 8 inches tall and about 12 inches wide. Use fertile, well-drained soil and plant after the last spring frost date.",Plant the slips 12 to 18 inches apart in the bed. Plant the slips deep enough to cover the roots and about ½ inch of the stem. Water generously for a few days to make sure that the plants root well.,Transplant12 to 18 inches apart in the bed. Plant the slips deep enough to cover the roots and about ½ inch of the stem. Water generously for a few days to make sure that the plants root well.,Space plants 12 to 18 inches apart in all directions.,"Remember to keep the potatoes watered. Deep watering in hot, dry periods will help to increase yields, although if you are planning to store some of the potatoes, do not give the plants extra water late in the season.",Sweet Potatoes like high phosphorus fertilizers.,"Hoe the beds occasionally to keep weeds down. Remember to reshape the beds with soil or mulch. For good harvests, do not prune the vines, because they should be vigorous.","Sweet potato scurf, White blister, Fungal leaf rot",Flea beetles,"You can start digging up the potatoes as soon as they are big enough for a meal. Often, this is three to four months from when you planted the slips. The leaves should have started to yellow, but you can leave them in the ground up until the fall frost. Since the roots spread 4 to 6 inches deep in the soil, a spade fork is useful when digging up the potatoes.","After digging up the potatoes, shake off any excess dirt but no not wash the roots. If you want to store sweet potatoes for an extended period of time, you must cure them. Curing the potatoes allows a second skin to form over scratches and bruises that occur when digging up the potatoes. To cure, keep the roots in a warm place (about 80°F) at high humidity (about 90%) for 10 to 14 days. For best curing, make sure that the potatoes are not touching one another. Store the sweet potatoes in a root cellar or other place with a temperature of at least 55°F. The ideal temperature range is 55° to 60°F."
45,Dill,"Dill is an annual, self-seeding plant with feathery green leaves. It is used most commonly in soups, stews, and for pickling. Dill is easy to grow and attracts beneficial insects to your garden, such as wasps and other predatory insects.",Full Sun(at least 6 hours a day),Loamy,"In your garden, plant dill next to cabbage or onions, but keep the dill away from carrots.",Plant after the last spring frost date. The soil should be around 60 to 70ºF for best results.,"Sow dill seeds about ¼-inch deep and 18 inches apart in rich soil, then gently rake the seeds into the soil.","Dill does not grow well when transplanted, so start the seeds fresh in the garden in early summer. Make sure to shelter the plants from strong winds.","After 10 to 14 days, the plants should appear in the soil. Wait another 10 to 14 days, then thin the plants to about 12 to 18 inches apart.",Water the plants freely during the growing season.,,"In order to ensure a season-long fresh supply of dill, continue sowing seeds every few weeks. For an extended harvest, do not allow flowers to grow on the plants. If the soil remains undisturbed throughout the growing season, more dill plants will grow the next season.",Leaf spot and occasionally a few other types of fungal leaf and root diseases,,"As soon as the plant has four to five leaves, you can start harvesting. Pinch off the leaves or cut them off with scissors. If you have a lot of plants, you can pinch off entire stalks.",
